ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,25,PASEO DE LOS JARDINES,FRACCIONAMIENTO,54769
15,113,EL TEMAZCAL,COLONIA,54300
15,92,SANTA ROSA,COLONIA,54770
15,2,SAN JOSE,PUEBLO,55880
15,121,PORTALES DE SAN JUAN,CONJUNTO HABITACIONAL,55604
15,31,TABLA BELIS,EJIDO,56270
15,29,SAN ANDRES CHIAUTLA 1,PUEBLO,56030
15,119,SANTA MARIA DEL MONTE,PUEBLO,51360
15,29,LOS PIRULES,FRACCIONAMIENTO,56036
15,119,LOMA DE POTE,PUEBLO,51361
15,29,SANTIAGO CHIMALPA,PUEBLO,56033
15,11,SAN CRISTOBAL NEXQUIPAYAC,PUEBLO,56300
15,11,LA PURISIMA - LA PURISIMA NORTE,COLONIA,56300
15,29,SAN LUCAS,PUEBLO,56040
15,25,BOSQUES DE XHALA,COLONIA,54712
15,25,EJIDOS DEL SOCORRO,COLONIA,54840
15,25,SAN SEBASTIAN XHALA,PUEBLO,54714
15,109,GUADALUPE TLAZINTLA,BARRIO,54966
15,109,MEXICO,COLONIA,54965
15,109,LA PIEDAD,BARRIO,54965
15,109,LA MORITA,COLONIA,54965
15,29,TLALTECAHUACAN,PUEBLO,56040
15,109,LA CANTERA,COLONIA,54964
15,29,SAN BARTOLO IXQUITLAN,PUEBLO,56033
15,119,SAN BARTOLO EL VIEJO,PUEBLO,51366
15,109,OXTOC,COLONIA,54964
15,119,EL CURTIDOR,PUEBLO,51364
15,2,SAN PEDRO TEPETITLAN,PUEBLO,55894
15,109,LA CANTERA,COLONIA,54960
15,2,XOMETLA,PUEBLO,55895
15,109,AMPLIACION LA PIEDAD,COLONIA,54965
15,109,JARDINES DE SANTA CRUZ,COLONIA,54965
15,109,SANTA RITA,COLONIA,54965
15,93,SANTA MARIA MAQUIXCO,PUEBLO,55840
15,71,LA CRUZ,UNIDAD HABITACIONAL,56509
15,25,SAN LORENZO RIO TENCO,PUEBLO,54713
15,109,SAN MARCOS,COLONIA,54960
15,109,TULTEPEC,EJIDO,54960
15,25,VISTA HERMOSA,COLONIA,54840
15,109,LAS BRISAS,COLONIA,54960
15,25,JALTIPA,BARRIO,54840
15,109,LOMAS DE TULTEPEC,COLONIA,54960
15,119,SAN BARTOLO DEL LLANO,PUEBLO,51366
15,25,SAN MATEO IXTACALCO,PUEBLO,54713
15,71,TORRES III,UNIDAD HABITACIONAL,56400
15,71,TORRES II,UNIDAD HABITACIONAL,56400
15,109,LA PALMA,COLONIA,54960
15,93,SAN FRANCISCO MAZAPA,PUEBLO,55820
15,25,SANTA BARBARA,PUEBLO,54713
15,76,SAN MARTIN CENTRO,PUEBLO,55850
15,25,EX - HACIENDA SAN JOSE,COLONIA,54713
15,109,LA CAÐADA,COLONIA,54965
15,93,PURIFICACION,BARRIO,55804
15,93,27,UNIDAD HABITACIONAL,55800
15,109,EMIQUIA,COLONIA,54965
15,93,CENTRO,COLONIA,55800
15,93,VILLAS DE TEOTIHUACAN,COLONIA,55807
15,94,TEPETLAOXTOC CENTRO,PUEBLO,56070
15,94,LOS REYES NOPALA,COLONIA,56094
15,71,VILLA DE TEPOZAN,UNIDAD HABITACIONAL,56428
15,70,CHIMALPA,BARRIO,56054
15,70,BELEM,BARRIO,56053
15,94,SANTIAGO TEPETLAOXTOC,EJIDO,56077
15,94,TULTECA TEOPAN,COLONIA,56096
15,70,PAPALOTLA,EJIDO,56050
15,29,SAN JUAN,BARRIO,56030
15,29,ARBOLEDAS,FRACCIONAMIENTO,56037
15,29,RESIDENCIAL ARBOLEDAS,FRACCIONAMIENTO,56037
15,29,SAN JUAN - SAN ANDRES CHIAUTLA,PUEBLO,56030
15,29,RESIDENCIAL SAN ANDRES,FRACCIONAMIENTO,56037
15,29,CALIFORNIA,FRACCIONAMIENTO,56037
15,29,SAN ANTONIO,FRACCIONAMIENTO,56037
15,29,JALAPANGO,COLONIA,56037
15,29,GUADALUPE,COLONIA,56038
15,29,DE SAN ANDRES,EJIDO,56030
15,11,DE LOS AHUEHUETES,EJIDO,56200
15,11,SAN SALVADOR ATENCO,PUEBLO,56300
15,11,DE SAN SALVADOR ATENCO,EJIDO,56300
15,11,LA TRINIDAD,EJIDO,56200
15,11,SAN ANDRES,EJIDO,56200
15,11,FRANCISCO I MADERO,COLONIA,56300
15,11,ATENCO,EJIDO,56300
15,11,SANTA ISABEL IXTAPAN,PUEBLO,56300
15,34,LAGUNA DE CHICONAUTLA,COLONIA,55070
15,76,SAN ANTONIO DE LAS PALMAS,PUEBLO,55853
15,76,TLACHINOLPA,PUEBLO,55853
15,76,SANTA MARIA PALAPA,PUEBLO,55856
15,76,ALVARO OBREGON,PUEBLO,55852
15,85,SANTA MARIA MAQUIXCO,PUEBLO,55996
15,85,SAN CRISTOBAL COLHUACAN,PUEBLO,55997
15,66,SANTIAGO TOLMAN,PUEBLO,55920
15,66,OXTOTIPAC,PUEBLO,55925
15,16,TLAMAPA,PUEBLO,55940
15,16,HUEYAPAN,PUEBLO,55940
15,66,TOCUILA RANCHERIA,PUEBLO,55924
15,66,SAN FRANCISCO TLALTICA,PUEBLO,55925
15,66,CUAUTLACINGO,PUEBLO,55926
15,66,OTUMBA CENTRO,COLONIA,55900
15,66,TLALMIMILOLPAN,PUEBLO,55924
15,66,RANCHO POYOXCO,PUEBLO,55924
15,66,SAN MIGUEL XOLCO,PUEBLO,55923
15,94,SAN BERNARDO TLALMIMILOLPAN,PUEBLO,56085
15,94,SAN ANDRES DE LAS PERAS,PUEBLO,56086
15,94,SANTO TOMAS APIPILHUASCO,PUEBLO,56080
15,94,SAN JUAN TOTOLOAPAN,PUEBLO,56080
15,66,SAN MARCOS,PUEBLO,55935
15,66,BUENAVISTA,PUEBLO,55936
15,16,JALTEPEC,PUEBLO,55965
15,16,ATLATECUAHUTITLAN,PUEBLO,55966
15,62,SAN MIGUEL ATEPOXCO,PUEBLO,55976
15,16,SAN NICOLAS TETEPANTLA,PUEBLO,55955
15,16,SANTO DOMINGO AZTACAMECA,PUEBLO,55955
15,16,SAN PABLO XUCHITL,PUEBLO,55954
15,93,SANTIAGO ZACUALUCA,PUEBLO,55846
15,93,SAN ISIDRO DEL PROGRESO,PUEBLO,55847
15,76,TEZOMPA,PUEBLO,55852
15,85,SAN MATEO TEOPANCALA,PUEBLO,55993
15,85,TEMASCALAPA CENTRO,COLONIA,55980
15,62,NOPALTEPEC,PUEBLO,55970
15,16,SAN MIGUEL OMETUSCO,PUEBLO,55963
15,62,SAN FELIPE TEOTITLAN,PUEBLO,55975
15,62,VENTA DE CRUZ,PUEBLO,55977
15,16,RANCHERIA ZACATEPEC,PUEBLO,55952
15,16,SAN ANTONIO COAYUCA,PUEBLO,55950
15,85,IXTLAHUACA DE CUAUHTEMOC,COLONIA,55990
15,61,LOS MANANTIALES,FRACCIONAMIENTO,54420
15,61,XOCHINAHUAC,FRACCIONAMIENTO,54477
15,61,SAN ISIDRO LA PAZ,COLONIA,54477
15,61,SAN JUAN,COLONIA,54413
15,25,CAMPESTRE DEL LAGO,FRACCIONAMIENTO,54766
15,61,GUADALUPE,COLONIA,54413
15,61,5 DE FEBRERO,COLONIA,54413
15,61,BUENAVISTA,COLONIA,54414
15,61,SAN ILDEFONSO,COLONIA,54470
15,61,VISTA HERMOSA,COLONIA,54414
15,61,EL GLOBO,FRACCIONAMIENTO,54410
15,61,VISTA HERMOSA,COLONIA,54414
15,61,JUAREZ,COLONIA,54405
15,61,CENTRO,COLONIA,54400
15,61,VILLAS DE SAN PEDRO,FRACCIONAMIENTO,54434
15,61,SANTA ANITA LA BOLSA,COLONIA,54416
15,61,AZOTLAN,COLONIA,54417
15,61,LIBERTAD,COLONIA,54407
15,61,NICOLAS ROMERO I,UNIDAD HABITACIONAL,54409
15,125,PEMEX,COLONIA,55789
